,場所,スコア,口コミ
13,ノボルト（NOBOLT）,3.9,じゃらんnetで遊び体験済み大人二人、20代前半と30代後半で遊んできました。公園にあるアスレチックより本格的なアスレチックですのでなめたらいけない。体力がなくても遊べますが、やはり、バランス感覚や平衡感覚はあったほうがよい・・・ハーネスを装着して楽しむアトラクションでは　最初ハーネスのつけ方を一緒にやってくれます。各アトラクションへは　20代前半ははしゃいでおりますが30代後半には体力的にもきつくなってきます（笑）運動不足気味なひとは気をつけましょう。次は、少し体を鍛えてからチャレンジしようと思います。水分補給は必須です。ロッカーも鍵式ではなくダイアル式なので　手荷物やスマホなどを　預けやすく、各アトラクションの近くにはほぼロッカーがあるので　結構親切な作り。コロナ禍があけてマスクがいらなくなればなお、楽しめそう。次回はもっと楽しめそうです。
14,ノボルト（NOBOLT）,4.2,じゃらんnetで遊び体験済み様々な遊べるものがあり、すごく楽しかった！だが、14時半集合の15時から17時の2時間で予約していたため、14じ40分ごろに受付でじゃらんで予約しましたとメールを見せたら色のついたバンド？をもらってもう中へ入っていいとのことなので遊んでいたらバンドの色によって時間帯がわかるようになっていたらしく、そのような案内はなかった。もらったバンドが紫色で14.30から16.30までのものでそれなら15時にくれば良かった。と思ったので施設は楽しかったが、スタッフの対応や安全の為なのもわかるが、スタッフのたんたんと作業をしていて対応がすこし不満だった。
15,ノボルト（NOBOLT）,4.1,じゃらんnetで遊び体験済み今回、3回目の利用でした。施設はとても楽しかったし、小さな子供から大人まで2時間たっぷり楽しめました！ですが、受付の女性の方の対応がすごく感じ悪く、残念な気持ちになりました。学生プランで予約を入れていましたが、学生証を忘れてしまい、なにか代わりになるものをと思い、「保険証とかはない？」と母と会話していると、受付越しに「あ、保険証は学生ということを証明するものではないので必要ないです。」と言われました。開始前にすごくイラッとしてしまいました。確かにきちんと携行していなかった私たちが悪いですし、よくよく考えれば保険証は年齢の証明は出来ても学生の証明にはなりませんよね…。しかもなにか作業しながら私たちの方を見ることなく、ボソッと言われたのがすごく気になります。私たちが悪かったにしても接客をしているのならもう少し言い方があったのではないかと思いました。しかも時間を管理していて体験者全員がつけなければいけない紙バンドの枚数が足らず…その後に対応してくださった違う男性の方はすぐに笑顔で準備してくださいました。バンドの枚数が足らず二度手間になったことより受付の方の態度が悪かったことの方が頭に来ました。接客をするならもし仮に嫌なことや気に入らないことがあっても表に出さないのが当たり前だと思っていました。私が細かいだけですか？
16,ノボルト（NOBOLT）,4.1,じゃらんnetで遊び体験済み子供達を連れて行きました。事前に予約していましたが、一時間近く早く着き、とりあえず受付に行ってみたらすぐにできました。クライミング等があるところにスタッフが少なくて、遊具は空いてるけどハーネスをつけてもらうのに待つのがもったいないなぁと思いました。２時間で遊びまくって子供達は汗びっしょりでした!(^^)!
17,ノボルト（NOBOLT）,4.1,じゃらんnetで遊び体験済みスポーツ好きの子供達には少し物足りなかったみたいです。 料金的には学生プランがありました。遊んでる人が沢山いたのでコロナの事を考えれば、もう少し人数を減して時間別で楽しみたかった
18,ノボルト（NOBOLT）,4.1,じゃらんnetで遊び体験済み家族で行きました。事前予約はしていましたが、同時刻に予約してる人が多いので早めに行った方が良いかと思います。アスレチックや、ボルダリングはハーネスをつけるので安心ですが高さがあるので足がすくみます小学生の息子はトランポリンが気に入ってましたあっという間の2時間でした入場のタグでし近くのレストランの割引などが受けれました。出口の所にひっそり看板があったので、もっと目立つ所に置いたら良いのにって思いました
19,ノボルト（NOBOLT）,4.1,じゃらんnetで遊び体験済み何度も行っていて、アトラクションの楽しさは知っています。案内のあった開始３０分前に並びましたが、開始時間を２分ほどオーバーし、その後ろにはまだ大勢並んであったので、開始１５分前くらいに来られた方は、全然間に合ってないと思います。しかも、予約に対応するレジは２つ、予約なしに対応するレジも同じくレジ２つ・・・。何度も来てますが、がっかりしました。一応、退場時間は目安ですとは言われますが、時間になるとリストバンドの色を放送で言われるので、定時をオーバーしては居づらいし、トランポリンなど入場に制限があるものは、バンド色の退場時間になると入れてもらえません。他の方が、投稿されているように、スタッフが足りていないか、システムに問題があると思います。
20,博多駅,3.2,飲食店も多く福岡でのお土産買えます。お土産を買いに色んな店に行くよりも、旅行の帰りに博多駅に寄れば確実です。
21,博多駅,4.3,ラーメンを食べたくて空港からすぐ博多駅へ｡ラーメン屋も沢山固まって店が並び、どこも列が出来ていた｡自分好みそうな店に入り食べたらびっくりするほど美味い！食べてみるべき。
22,博多駅,4.2,駅周辺がとても広くて、飲食店もたくさんありすごくよかったです。お土産を買うお店も何店もあり、休憩する場所も何ヶ所もあり、すごく観光するものにはありがたかったです。
23,博多駅,3.9,九州・福岡を代表するターミナル駅ということもあり、グルメやお土産が非常に充実してました。また、福岡市はあらゆる場所を花と緑でいっぱいにする「一人一花」運動を推し進めているようで、駅前には綺麗な花のオブジェが訪れた人を出迎えるように展示されてました。
24,博多駅,4.2,人の多さに驚きました。同じ九州に住んでいて、こんなに違うものかと圧倒されつつも、ショッピング、食事と大満足でした。ちょうど山笠も飾ってあり、はじめてみて感動でした。
25,博多駅,4.1,コロナ前の賑わいで屋上まで散策。久しぶりの”都会”を満喫、デパ地下も楽しく回遊・買い物できました。
26,博多駅,4.1,野球観戦まで時間があったので、福岡空港まで飛行機を見に行ったり、地下街を散歩したりと時間調整には苦労しません。
27,博多駅,4.1,埼玉、福岡の友人と博多駅構内で待ち合わせをしました。　　　　　　　　　　　　　　６月18日が日曜日であった為か、旅行者も多く構内はビックリ仰天の　　　　　　　　　人、人の群れで大変でした。次回、会うときは気をつけなければならぬと痛感しました。
28,博多駅,4.1,埼玉、福岡の友人と博多駅構内で待ち合わせをしました。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　６月18日が日曜日であった為か旅行者も多くビックリ仰天の人、人の群れでした。　　　　　　　　　　　次回、会うときは気をつけねばならぬと痛感です。
29,博多駅,4.1,福岡空港から地下鉄で10分、バスターミナルも隣にあり、お土産や地元のグルメも楽しめて、博多で時間があまったら、とりあえず、駅にくればなんとかなる！と感じました。
30,博多駅,3.2,旅行のシーズンのせいか、凄く混雑していました。やはり、九州の重要都市です。トイレが、常に混雑しているので、併設されているショッピングセンターを使用されることをお勧めします。今回も、博多駅の壁にある金の蛙をみられて、ラッキーな気分になりました。
31,博多駅,4.3,意外に知られてない？かな…？と思うのが屋上庭園。ミニ電車あり、神社あり、更に遠くを望める展望エリアあり、地元の人は通勤通学の通り道だけど、一度は上まで上がってみないと、損だと思う。
32,博多駅,4.2,九州の玄関口博多駅です。さすがに大きいです。九州の特急列車は、博多駅が起点ですので、多くの列車が見れます。今回は、ゆふいんの森号に、乗ることができました。
33,博多駅,3.9,地下鉄七隈線延伸によってどんなふうになったのか？って思い二日間地下鉄にのってみました。1日目天神南から博多駅・乗換え・博多駅から福岡空港国内線・乗換え・国内線から国際線・乗換え・国際線から国内線・乗換え・博多駅から大濠公園・徒歩・六本松から天神南2日目天神南から博多駅・乗換え・博多駅から中洲川端・乗換え・中洲川端から箱崎宮・乗換え・箱崎宮から天神・乗換え天神から祇園・乗換え・祇園から天神・徒歩天神南地下鉄一日券を購入しましたが、とても二日間では周り終えませんでした。次回は各線の終点まで行ってみます。博多駅乗換えは慣れていないので、迷路の様です。新幹線口側が空港線・筑紫口側が七隈線、でも最適なアクセス方法はまだまだ先です。55mの動く歩道？？どこにあるのかなぁ？
34,博多駅,4.2,東京までバスがてているのに驚きました、ターミナルがとっても快適な空間になってました。空港からも近いし、港に行くのも便利だし、電車がすぐ来るので、動きやすいです。
35,博多駅,4.1,地元にやってきたのでJRに乗って博多駅にやってきました。年末なのでたいそうな人出で賑わっておりました。
36,博多駅,4.1,「地下鉄七隈線の延伸に伴い整備された」と、ニュースを見た子どもが行きたい！と言うので行きました。55mの動く歩道。子どもは楽しそうでしたが、要るかなと思ったのがホンネです。
37,博多駅,4.1,白色しているまでにそこまで混んでいるわけではなく、お店もいろいろなお店があって楽しめました。福岡のお土産屋さんやラーメン屋さん、おいしいものなど、1通で欲しいお店が詰まっていて、しなくてもここで十分こと足りるという感じです。
38,博多駅,4.1,博多口の地下街は広くて歩き回るのも大変ですが、その分色々なお店があって飽きずに何時間でもいられる感じです。
39,博多駅,4.1,出張の日に丁度鷹の祭典だったので観戦。ユニフォームが貰えたし、ビールや料理はおいしく楽しい思い出です。
40,福岡PayPayドーム,3.2,7、8年ぶりに訪れました。コロナ禍お出かけを我慢していた観客の皆さんの熱が爆発!って感じ。応援も、スタ飯エリアも熱気ムンムン！人気のスタ飯にありつこうと思ったら、随分並びます！試合開始の一時間半前に入場しましたが、ドリンク買うのも、つまみを買うのも、すごく並びました。前来たときには、こうだったかなぁ?
41,福岡PayPayドーム,4.3,7月30日に7年ぶりに観戦しました。ビジターチームの贔屓でしたが、ジェット風船は、見事に飛びますね。球場では、直に風船は触らない、万一当たらないように避ける事をオススメします。怖いのは確かですね。担当球団も場内販売も行っていました。新たな器具を扱えないようにみうけられました。係員が手助けするよう一考して欲しいと思います。素晴らしい大きなスクリーンもあるので解説を期待します。
42,福岡PayPayドーム,4.2,負けが続いてる鷹の祭典なので勝利を願って応援に行きました結果は負けてしまいました。が…久しぶりに復活したジェット風船は楽しかったです
43,福岡PayPayドーム,3.9,久し振りの野球観戦でドームに行きました。楽しかったです。おかわりジュースの長蛇の列、改善お願いします。試合後のバス待ち場所も夏は考えるべきだと思います。影もない炎天下では体調悪くなります。
44,福岡PayPayドーム,4.2,野球観戦はやはりテレビで見るより雰囲気に迫力があり最高でした。今回はソフトパンクが負けてしまいましたが、次に観戦する時は勝つ事を願って応援します！
45,福岡PayPayドーム,4.1,野球が好きで、たまたま開催日に出張が重なったので観戦で行った。特にソフトバンクファンでもなかったのでのんびり見たかったが、周りががちがちのソフトバンクファンで一人でユニフォームも来ていなかったのでいづらかった。5回試合成立前に帰った。
46,福岡PayPayドーム,4.1,ものすごい熱気の中観戦できました。残念ながらまた負けましたが、サイゴン胃柳田選手のホームラン見れたし、ワニマの生歌も聞けてまあまあ満足でした。
47,福岡PayPayドーム,4.1,去年もこのシートを利用して野球観戦しましたが、ゆっくり野球を楽しめたり、食事も落ち着いて食べられていいです。入退場も専用ゲートなので混まなくていいです。
48,福岡PayPayドーム,4.1,地下鉄から遠いのが気になりました。しかし、天気の良い日なら散歩気分でいいかもしれませんが、地下鉄で行くのは、天気の悪い日は少し嫌かなと思いました。
49,福岡PayPayドーム,4.1,今回も観戦して、勝利してくれた事嬉しさで一杯です。このまま一位をキープしてくださいと思っています。
50,福岡PayPayドーム,3.2,Live会場へ行き、初めてでしたが分かりやすかったです。商業施設も時間潰してウインドショッピングができて楽しかったです。
51,福岡PayPayドーム,4.3,セパ交流戦で SBvsG戦を観戦しました。球場メシも種類豊富で、試合中の演出も楽しく、そんなに詳しくなくても楽しめます！駅から直行のバスが出ているのでオススメ。
52,福岡PayPayドーム,4.2,野球観戦やコンサートで年間数十回利用させていただいております、トイレは綺麗で料理もとても美味しいです。あえて言うならば駐車場のスタッフの方の対応が悪く料金が高いのが残念です。
53,福岡PayPayドーム,3.9,GWに行きましたが、子供連れで行くにはいい席だったと思います。周りに気を使いすぎなくていいのもよかったですしビュッフェ形式で食事も好きなだけ頂けるのもいいポイントでした。次に行くことがあればまた利用したいと思います。
54,福岡PayPayドーム,4.2,８人でホークスの応援に行きました。初めてドームを訪れる人もいて、めちゃめちゃテンション上がりました。ファイブボックスという席だったので、テーブルもあるし、タブレットで料理の注文もできたし、最高でした。残念ながら、試合は負けましたが、楽しい時間を過ごすことができました。
55,福岡PayPayドーム,4.1,博多駅前から臨時バスに乗って行きましたが、途中の渋滞がすごくて早めに出てよかったなと心から思いました。PayPayドームの横に商業施設があり、食事やショッピングで時間潰せます。テイクアウトして食べれる場所がもっとあればたすかるかな。
56,福岡PayPayドーム,4.1,そこんとこの配慮をもう少し検討してほしい。もう少し妥当な金額で販売して欲しいです！コーラひとつにしても500mlで280円って（笑）食事も油濃いのばかりで年配者には食えるもんがないです！
57,福岡PayPayドーム,4.1,今回はECCキッズパークを選んだのですが、周りのことを気にする必要もなく観戦できたのでとてもよかったです。食事がついているのもよくてじっくりと見ることができました。
58,福岡PayPayドーム,4.1,今まで、他の球場での観戦もして来ましたが、音響や、スクリーン、一体感、どれをとっても　最高でした。リッチも、よし。
59,福岡PayPayドーム,4.1,ホークスの応援に初めて行きました。広くて綺麗で快適な球場です。球場外のある箇所から北側を見ると、海の向こうにマリンワールド海の中道の建物が見えて綺麗でした。
60,BOSS E・ZO FUKUOKA,3.2,じゃらんnetで遊び体験済みチームラボ目当てでしたが30分追加でバーチャルゲームをよくわからないまま体験しましたが、スタッフさんも配備されていて説明もわかりやすかったです。平日で空いていました。友人にもオススメしたいです。
61,BOSS E・ZO FUKUOKA,4.3,椅子が出されていたので座っていたら、手で払うような動きをされ「そこをどけ」というかなり失礼な仕草をされました。(本来は疲れたお年寄りの方のために特別にその時だけ出してあった椅子だと後から知りました。何も注意書きなどなく置いてあったので。)そのあと「椅子が必要なら出すから言って！」とタメ口で言い放たれ、外国人観光客と思い込んで雑な対応をしたのかもしれませんが、かなり腹立たしかったです。「知らなかったので座ったのはわざとじゃないです」と答えたら無視して立ち去っていきました。私はもう二度と来ません。
62,BOSS E・ZO FUKUOKA,4.2,スタッフ教育が全くなっていない、田舎のぽっと出の施設です。スタッフが悪いので。仕事に責任感のないアルバイトばかりなんでしょうねと思わざるを得ない対応ばかりで嫌な気持ちになりました。気分悪いのですぐ帰りました。
63,BOSS E・ZO FUKUOKA,3.9,じゃらんnetで遊び体験済みお試しのつもりで家族4人で30分利用しました。休日だったので人が多く、半分以上利用できずに終わってしまいました。たくさんのVRを利用したい方には30分以上をお勧めします。
64,BOSS E・ZO FUKUOKA,4.2,じゃらんnetで遊び体験済み思っていたより広い会場でした。光のアートはずーっとボーッと見ていたくなるくらいに綺麗でした。遊びながら知識も増えとても良かったです。
65,BOSS E・ZO FUKUOKA,4.1,先日、遠征民ですが、劇場公演に当選したので行ってきました！当日は、メンバーの生誕祭で満席でしたが、マスク越しですが声出しもできコールがすごかった。また、コンサートと違い間近でメンバーを見れるので臨場感も半端ないです！また参戦したいです。
66,BOSS E・ZO FUKUOKA,4.1,じゃらんnetで遊び体験済み　隣りペイペイドームでソフトバンクの試合があるのでドームは長蛇の列でしたが空いてはいた方だとは思いますが予約をパソコン上にしてしまい、本来はスマホで予約をし入場する準備ができていなっかったのに持参した予約の紙で総合受付の方がチームラボとBOSS　ZO　FUKUOKA の受付の方に連絡をして頂き全ての受付の方々が大変親切に対応して頂いたことが一番印象に残っていますチームラボとても綺麗で楽しめました。
67,BOSS E・ZO FUKUOKA,4.1,じゃらんnetで遊び体験済み　息子が希望し行って見ましたが、今まで見たことのない空間でした。　設備等から必要な金額なのだと思いますが、家族4人で結構な金額になったので、星4つとさせていただきました。　1回は体験してみる価値はあります。
68,BOSS E・ZO FUKUOKA,4.1,すべZOを体験しました！絶叫好きの私は叫ぶ程ではないですが、結構スピードが出てスリルがあって楽しかったです。景色を楽しむ余裕はありました。しかし、全スタッフがという訳ではないのですがスタッフの対応が雑であまり気持ちよく終わることはできませんでした。
69,BOSS E・ZO FUKUOKA,4.1,じゃらんnetで遊び体験済み未就学児から中学生という、幅広い年齢の子どもが一緒遊べる場所として、とてもよかったです。屋内なので天候にも左右されないですし。ランダムな光の動きと音に大人は酔いそうでしたが、小一時間ほど滞在して遊びました。じゃらんで前もってチケット購入できたので、入場もスムーズでした。
70,BOSS E・ZO FUKUOKA,3.2,じゃらんnetで遊び体験済みチームラボ福岡は映像アトラクションのような施設で子供から大人まで幅広い世代の方が楽しめるスポットでした。時間は1時間～半日くらいで十分楽しめると思います。
71,BOSS E・ZO FUKUOKA,4.3,じゃらんnetで遊び体験済みまずうんこミュージアムに行って、チームラボに行って、ご飯を食べました！うんこミュージアムは思ったより小さくて少し期待外れでした。チームラボは大人も子供も楽しめます。飲食店も色々あるので1日楽しめる施設でした。
72,BOSS E・ZO FUKUOKA,4.2,じゃらんnetで遊び体験済み中でも、私は紅葉と滝が流れる場所と川にある石段を渡る場所 が綺麗かつ写真映えしたと思います。姉とふたりで行きましたが、子連れファミリーやカップルにおすすめの場所でした。万華鏡みたいに写真が撮れるところは、映えスポットとして人気でした。写真が上手く撮れず悔しかったですw行くなら白のワンピースを着ていくといいと思います！なぜなら、光が布の生地に反射して綺麗だからです！
73,BOSS E・ZO FUKUOKA,3.9,じゃらんnetで遊び体験済み初めての利用でした。チームラボは、アプリで動物を捕まえたり、幻想的な空間で遊んで時間を忘れました。VRの方は30分間遊べるコースにしましたが、一つ一つが短めの遊びで充分楽しみました。ただ、どこのブースでもあまり分からない遊びなのに、係の人がいやいや感が伝わるような説明の仕方で残念です。高校生の姪はスベゾーもして、楽しんでいました。また行きたいと思います。
74,BOSS E・ZO FUKUOKA,4.2,じゃらんnetで遊び体験済みVRゲームやチームラボの展示など、異空間を存分に楽しむことが出来ました。結構混んでいたので、今度は平日を狙って行ってみたいです。
75,BOSS E・ZO FUKUOKA,4.1,じゃらんnetで遊び体験済みポイント消費で行きましたが、駐車場はMAX5時間無料になりました。歩けるようになった子供を連れて行ったのでかなり運動にもなったようでしっかり満喫出来たと思います。写真や動画も撮れるので思い出になりますし、行ってよかったです。
76,BOSS E・ZO FUKUOKA,4.1,じゃらんnetで遊び体験済み初めてのチームラボ体験しました。子どもより夢中になって動物探しをしてしまいました。目で楽しんだり、カラダを動かしたり充実した時間でした。
77,BOSS E・ZO FUKUOKA,4.1,チームラボ初めてで、すっごくきれいで幻想的で映える感じでした。最初の動物のところは勉強にもなって楽しかったです。反面、小さな子供がいくところではないと感じました。サイトで公開されているような動きをしたらスタッフから叱られますので、今後行かれる小さなお子様連れは注意してください。最後のボールが浮いているところ、サイトではボールをトスしたり、押したり、走って追いかけたりしていましたが、全て禁止事項になっています。それをマイクでずーっと繰り返してるし、言っても聞かなさそうな幼児連れのママさんにガミガミ言ってるのを聞いてるのは不愉快で、最後の部屋だけ雰囲気が台無しで違う施設みたいでした。確かに連休で子供は多かったけど……。ボールが頭に当たりそうになったのを、手で防いだだけでスタッフ飛んできて禁止事項見せられながらガンガン注意されて、びっくりしちゃってすぐ帰りました。あの部屋が最後じゃなかったらよかった……。
78,BOSS E・ZO FUKUOKA,4.1,じゃらんnetで遊び体験済みじゃらんポイントの消費の為に行きましたが、チームラボの明かりの空間に圧倒され素敵な時間を、過ごせました。又、リピートします。
79,BOSS E・ZO FUKUOKA,4.1,じゃらんnetで遊び体験済みチームラボの映像は幻想的で経験する価値はあります。建物全体色んなイベントやっていて子供達も楽しめました。
80,関門海峡（早鞆ノ瀬戸）,3.2,昼も夜も素晴らしい景色で大きな船が行き交うところがまたまた良くて…日本ってやっぱりいいなぁーと思います。
81,関門海峡（早鞆ノ瀬戸）,4.3,関門海峡はもちろん電車でも渡れます。トンネルでわずが数分で下関に着けますので、下関側から橋を眺めるのも一興です。
82,関門海峡（早鞆ノ瀬戸）,4.2,いつも高速道路で通っていた関門海峡ですが、無料で地下を歩いて渡れると知り、小学生になったこどもたちと通りました。こどもたちも地理もわかってきたので地図を見ながらすごいねと言いながら渡りました。
83,関門海峡（早鞆ノ瀬戸）,3.9,和布刈神事を行う神社なので、海に面した階段から柵なしで海が眺められます。（落ちないように気をつけてね）この神社のすぐ横に、関門トンネルの人道入り口があるので、山口と福岡の県境に立つこともできます。
84,関門海峡（早鞆ノ瀬戸）,4.2,本州と九州を挟んだ海峡と大橋。歴史も感じ、何度訪れても飽きない風景です。高速SAは最近リニューアルされていて、ゆっくり眺められます。
85,関門海峡（早鞆ノ瀬戸）,4.1,北九州市へ帰省の折、門司和布刈神社から関門海峡を何年ぶりかで観ました。やはり、感激です。大型タンカーが何隻も行き来して、渦もあり最高。翌日は和布刈公園の上からもきれいに見えました。途中、山道に迷いましたが。ここで平家が破れ、滅亡？しかし、天皇家とのかかわりもあり滅亡したのは源氏では？と思いをはせ感無量。
86,関門海峡（早鞆ノ瀬戸）,4.1,はじめて行きましたが、人道を歩くのがほかではなくいい体験ができました。海の音が聞こえてくるのもいい。また、関門海峡突破の記念証がもらえるので記念になります。
87,関門海峡（早鞆ノ瀬戸）,4.1,今回は　車で通過するだけでしたが　いつ通っても　大きくてすごいなあと思います。眺めは　本州と九州が見えて海も見えて最高です。
88,関門海峡（早鞆ノ瀬戸）,4.1,JR門司港駅で降りて、門司港レトロを通り抜けて歩く・和布刈神社行きのバスに乗る・トロッコ列車潮風号に乗る、いずれかの方法で関門海峡大橋の下に行きます。そこには和布刈神社と関門トンネル入口がありますが、それはそれは絶景です。何度もウォーキングする価値はあります。関門トンネル人道を歩いて下関に行けば、赤間神宮やカモンワーフ・唐戸市場等々盛り沢山の施設があります。帰りは唐戸市場から船に乗って門司港駅へ・・・一日中楽しめます。
89,関門海峡（早鞆ノ瀬戸）,4.1,門司港ー唐戸港間を結ぶ渡船を利用しました僅か5分ですがしっかり観光気分を味わえます　巌流島経由も有るので次回はそちらも利用してみます
90,関門海峡（早鞆ノ瀬戸）,3.2,和布刈神社から関門海峡を見ました。とても立派な橋がかかっていました。雄大で立派な橋に感動しました。関門海峡は思っていたよりも狭く、山口県が、本当に目と鼻の先にあるようでした。
91,関門海峡（早鞆ノ瀬戸）,4.3,源平合戦があった海峡です。とても景色もいいし、歴史をしのびながらの散策できます。「海猿」のロケ地にもなりました。橋だけでなく、トンネルもあり、そこには人道も有って、山口と福岡の県境の写真も撮れますよ。
92,関門海峡（早鞆ノ瀬戸）,4.2,展望台は混んでいません。なぜなら駐車場に限りがあり手前の交通整理でせきとめられるからです。GW中だからでしょうが駐車場まち渋滞が本線に届くくらい人気でした。
93,関門海峡（早鞆ノ瀬戸）,3.9,下関や門司港から遊覧船がでていて、私は門司港からの遊覧船から眺めました。側面から眺める関門海峡大橋は雄大で美しかったです。
94,関門海峡（早鞆ノ瀬戸）,4.2,ここに来ると気が晴れストレス解消になります。北九州市で一番好きな場所と言っても過言ではありません。
95,関門海峡（早鞆ノ瀬戸）,4.1,平家合戦があった関門海峡に雄大な姿を見せる関門橋。そのおひざ元の門司港では「海猿」の撮影も行われたロケ地です。海風を感じながら絶景を楽しめます。
96,関門海峡（早鞆ノ瀬戸）,4.1,関門海峡の下は地下道になっていて北九州の門司港まで行けます。お散歩をしてるようで運動にもなりました。地下道の上は海だから変な感じがしましたが快適でした。　下関側からと門司側からと両方から見える関門海峡門はまた違った感じでした。
97,関門海峡（早鞆ノ瀬戸）,4.1,行きはトンネル、帰りは船で。なかなかない機会なのでせっかくだから徒歩で関門海峡（の下のトンネル）を通過してみました。車でとおるのとはまた違った趣でよかったです
98,関門海峡（早鞆ノ瀬戸）,4.1,早鞆ノ瀬戸の下に無料の人道があり、歩いて渡りました。地元の人なのか行ったり来たりランニングしてる人も多かったです。自転車は有料。何が見れるわけでもありませんが「関門海峡を歩いて渡った」のはいい思い出になりました。復路は船に乗りました。時間を調べておけばあっという間に渡れて、船も良かったです。
99,関門海峡（早鞆ノ瀬戸）,4.1,何度か訪れてましたが、トンネルを歩くのは初めてでした！唐戸市場から入口まで歩き、エレベーター可愛いねとか言いながら楽しく進み、途中スキップなど。が、門司方面に着いてから、1時間に1本のバス出発直後…さらに門司港レトロまで歩くことに。この日は25000歩ほど歩く、なかなかハードな1日になりました。でも、すごく楽しかったです♪
100,筑後川鵜飼,3.2,鵜飼いが有名だと言うことで楽しみにしてました。昔ながらの漁のやり方は素晴らしいなと思いました、実際に見ることができてよかったです。
